"PNuid_NLidu","Name_en","Nom_fr","Province","Latitude","Longitude"
50312,"Mosakahiken Cree Nation (Moose Lake)","Mosakahiken Cree Nation (Moose Lake)","MB",53.70558589,-100.314820118
50313,"Nelson House (Nisichawayasihk Cree Nation)","Nelson House (Nisichawayasihk Cree Nation)","MB",55.783001615,-98.885751911
50314,"Pelican Rapids (Sapotaweyak Cree Nation)","Pelican Rapids (Sapotaweyak Cree Nation)","MB",52.74473335,-100.69229905
50315,"Opaskwayak Cree Nation (The Pas)","Opaskwayak Cree Nation (The Pas)","MB",53.837703306,-101.271359446
50316,"Anama Bay (Dauphin River)","Anama Bay (Dauphin River)","MB",51.963173772,-98.065377578
50317,"Lac Brochet (Northlands Denesuline First Nation)","Lac Brochet (Northlands Denesuline First Nation)","MB",58.618458742,-101.488009409
50318,"South Indian Lake (O-Pipon-Na-Piwin Cree Nation)","South Indian Lake (O-Pipon-Na-Piwin Cree Nation)","MB",56.779983878,-98.931194916
50323,"Ilford (War Lake First Nation)","Ilford (War Lake First Nation)","MB",56.068429554,-95.596507194
50324,"Indian Birch (Wuskwi Sipihk First Nation)","Indian Birch (Wuskwi Sipihk First Nation)","MB",52.509069283,-100.87051545
50325,"Kee-Way-Win","Kee-Way-Win","ON",53.004019085,-92.797322902
50326,"Balmertown (McDowell Lake)","Balmertown (McDowell Lake)","ON",51.059507103,-93.747668062
50327,"Pauingassi First Nation","Pauingassi First Nation","MB",52.157606215,-95.374125799
50328,"Black Sturgeon Indian Reserve (Marcel Colomb First Nation)","Black Sturgeon Indian Reserve (Marcel Colomb First Nation)","MB",56.802825212,-100.583059459
50340,"Little Pine","Little Pine","SK",52.916559636,-109.058313222
50341,"Lucky Man","Lucky Man","SK",52.988900926,-107.236562143
50342,"Moosomin","Moosomin","SK",53.082727755,-108.316508589
50343,"Mosquito, Grizzly Bear's Head, Lean Man First Nations","Mosquito, Grizzly Bear's Head, Lean Man First Nations","SK",52.490424721,-108.248435107
50344,"Onion Lake Cree Nation","Onion Lake Cree Nation","SK",53.712645656,-109.96397755
50345,"Poundmaker","Poundmaker","SK",52.896113982,-108.974313831
50346,"Red Pheasant","Red Pheasant","SK",52.457893475,-108.179618519
50347,"Saulteaux","Saulteaux","SK",53.125555614,-108.329455587
50348,"Sweetgrass","Sweetgrass","SK",52.76546337,-108.715925322
50349,"Thunderchild First Nation","Thunderchild First Nation","SK",53.480050244,-108.87464588
50350,"Cumberland House Cree Nation","Cumberland House Cree Nation","SK",53.941931606,-102.284930719
50351,"Fond du Lac","Fond du Lac","SK",59.327485668,-107.188921826
50352,"Hatchet Lake","Hatchet Lake","SK",58.112505678,-103.159163443
50353,"Lac La Ronge","Lac La Ronge","SK",55.098885458,-105.303810469
50354,"Montreal Lake","Montreal Lake","SK",54.051736596,-105.786613604
50355,"Pelican Narrows (Peter Ballantyne Cree Nation)","Pelican Narrows (Peter Ballantyne Cree Nation)","SK",55.172545,-102.931514
50356,"Red Earth","Red Earth","SK",53.490952353,-102.861137353
50357,"Pakwaw Lake (Shoal Lake Cree Nation)","Pakwaw Lake (Shoal Lake Cree Nation)","SK",53.483102252,-102.627554147
50358,"Wahpeton Dakota Nation","Wahpeton Dakota Nation","SK",53.27662607,-105.897007024
50359,"Black Lake","Black Lake","SK",59.130252,-105.602644
50360,"Sturgeon Lake First Nation","Sturgeon Lake First Nation","SK",53.420788367,-105.987452962
50361,"Cowessess","Cowessess","SK",50.516357226,-102.660126196
50362,"Kahkewistahaw","Kahkewistahaw","SK",50.491236,-102.531437
50363,"Ochapowace","Ochapowace","SK",50.469984989,-102.394404917
50364,"Sakimay First Nations","Sakimay First Nations","SK",50.528615572,-102.792149654
50365,"Carlyle Lake Resort (White Bear)","Carlyle Lake Resort (White Bear)","SK",49.751758166,-102.270370937
50366,"Badgerville (Cote First Nation 366)","Badgerville (Cote First Nation 366)","SK",51.643882338,-101.902688835
50367,"Springside (Keeseekoose)","Springside (Keeseekoose)","SK",51.718979878,-101.909193966
50368,"The Key First Nation","The Key First Nation","SK",51.782874224,-102.129017017
50369,"Beardy's and Okemasis","Beardy's and Okemasis","SK",52.837420787,-106.311007815
50370,"James Smith","James Smith","SK",53.105706001,-104.877574883
